strain	genbank_accession	date	country	host	completeness	length	Nextstrain_clade_usher	Lineage
CHN/GDCDC_YF_0012/2022|C_AA004327.1|2022-12-20		2022/12/20	China	Homo sapiens	Complete	29728	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0013/2023|C_AA004328.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29728	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0015/2023|C_AA004330.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29728	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0016/2023|C_AA004331.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29728	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0017/2023|C_AA004332.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29728	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0018/2023|C_AA004333.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29728	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0019/2023|C_AA004334.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29795	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0022/2023|C_AA004337.1|2023-01-17		2023/1/17	China	Homo sapiens	Complete	29728	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0023/2023|C_AA004338.1|2023-01-17		2023/1/17	China	Homo sapiens	Complete	29795	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0024/2023|C_AA004339.1|2023-01-17		2023/1/17	China	Homo sapiens	Complete	29795	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0025/2023|C_AA004340.1|2023-01-17		2023/1/17	China	Homo sapiens	Complete	29728	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0026/2023|C_AA004341.1|2023-01-17		2023/1/17	China	Homo sapiens	Complete	29795	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0029/2023|C_AA004342.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0032/2023|C_AA004345.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29702	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0033/2023|C_AA004346.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29766	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0034/2023|C_AA004347.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29721	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0035/2023|C_AA004348.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0036/2023|C_AA004349.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0038/2023|C_AA004350.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0041/2023|C_AA004353.1|2023-02-07		2023/2/7	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0043/2023|C_AA004355.1|2023-02-01		2023/2/1	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0045/2023|C_AA004357.1|2023-02-01		2023/2/1	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0046/2023|C_AA004358.1|2023-02-01		2023/2/1	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0047/2023|C_AA004359.1|2023-02-01		2023/2/1	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0049/2023|C_AA004360.1|2023-02-01		2023/2/1	China	Homo sapiens	Complete	29762	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0054/2023|C_AA004362.1|2023-02-14		2023/2/14	China	Homo sapiens	Complete	29744	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0055/2023|C_AA004363.1|2023-02-14		2023/2/14	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0058/2023|C_AA004365.1|2023-02-14		2023/2/14	China	Homo sapiens	Complete	29733	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0061/2023|C_AA004368.1|2023-02-21		2023/2/21	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0062/2023|C_AA004369.1|2023-02-21		2023/2/21	China	Homo sapiens	Complete	29745	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0063/2023|C_AA004370.1|2023-02-21		2023/2/21	China	Homo sapiens	Complete	29761	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0064/2023|C_AA004371.1|2023-02-21		2023/2/21	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0094/2023|C_AA003390.1|2023-03-20		2023/3/20	China	Homo sapiens	Complete	29729	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0095/2023|C_AA003391.1|2023-03-14		2023/3/14	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0101/2023|C_AA017265.1|2023-04-25		2023/4/25	China	Homo sapiens	Complete	29767	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YF_0102/2023|C_AA017266.1|2023-04-24		2023/4/24	China	Homo sapiens	Complete	29747	22B (Omicron)	BA.5.2.48
CHN/GDCDC_YJ_0003/2023|C_AA004374.1|2023-02-22		2023/2/22	China	Homo sapiens	Complete	29646	22B (Omicron)	BA.5.2.48
CHN/GDCDC_ZH_0025/2023|C_AA004379.1|2023-02-01		2023/2/1	China	Homo sapiens	Complete	29744	22B (Omicron)	BA.5.2.48
CHN/GDCDC_ZH_0048/2023|C_AA004394.1|2023-02-13		2023/2/13	China	Homo sapiens	Complete	29763	22B (Omicron)	BA.5.2.48
CHN/GDCDC_ZH_0055/2023|C_AA004398.1|2023-02-14		2023/2/14	China	Homo sapiens	Complete	29760	22B (Omicron)	BA.5.2.48
CHN/GDCDC_ZH_0070/2023|C_AA003394.1|2023-03-20		2023/3/20	China	Homo sapiens	Complete	29755	22B (Omicron)	BA.5.2.48
CHN/GDCDC_ZJ_0028/2023|C_AA004400.1|2023-01-30		2023/1/30	China	Homo sapiens	Partial	29404	22B (Omicron)	BA.5.2.48
CHN/GDCDC_ZJ_0031/2023|C_AA004403.1|2023-02-06		2023/2/6	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/GDCDC_ZJ_0055/2023|C_AA003396.1|2023-03-20		2023/3/20	China	Homo sapiens	Complete	29545	22B (Omicron)	BA.5.2.48
CHN/GDCDC_ZQ_0017/2023|C_AA004409.1|2023-01-26		2023/1/26	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/GDCDC_ZQ_0018/2023|C_AA004410.1|2023-01-26		2023/1/26	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/GDCDC_ZS_0011/2023|C_AA004412.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29839	22B (Omicron)	BA.5.2.48
CHN/GDCDC_ZS_0012/2023|C_AA004413.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29811	22B (Omicron)	BA.5.2.48
CHN/GDCDC_ZS_0015/2023|C_AA004415.1|2023-02-16		2023/2/16	China	Homo sapiens	Complete	29799	22B (Omicron)	BA.5.2.48
CHN/GXGuigangCDC-0001/2023|C_AA003340.1|2023-03-03		2023/3/3	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/GXGuigangCDC-0004/2023|C_AA003343.1|2023-03-13		2023/3/13	China	Homo sapiens	Complete	29705	22B (Omicron)	BA.5.2.48
CHN/GXGuigangCDC-0005/2023|C_AA003344.1|2023-03-13		2023/3/13	China	Homo sapiens	Complete	29756	22B (Omicron)	BA.5.2.48
CHN/GXGuigangCDC-0006/2023|C_AA003345.1|2023-03-17		2023/3/17	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/GXGuigangCDC-0007/2023|C_AA003346.1|2023-03-17		2023/3/17	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/GXGuigangCDC-0008/2023|C_AA003347.1|2023-03-17		2023/3/17	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/GXGuigangCDC-0009/2023|C_AA003348.1|2023-03-17		2023/3/17	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/HB-Enshi-0465/2023|C_AA006609.1|2023-01-04		2023/1/4	China	Homo sapiens	Complete	29628	22B (Omicron)	BA.5.2.48
CHN/HB-Enshi-0560/2023|C_AA006620.1|2023-01-18		2023/1/18	China	Homo sapiens	Complete	29827	22B (Omicron)	BA.5.2.48
CHN/HB-Enshi-0571/2023|C_AA006621.1|2023-01-29		2023/1/29	China	Homo sapiens	Complete	29806	22B (Omicron)	BA.5.2.48
CHN/HB-Ezhou-0349/2022|C_AA006640.1|2022-12-27		2022/12/27	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/HB-Ezhou-0846/2023|C_AA003784.1|2023-03-29		2023/3/29	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/HB-Huangshi-0652/2023|C_AA006694.1|2023-02-03		2023/2/3	China	Homo sapiens	Complete	29721	22B (Omicron)	BA.5.2.48
CHN/HB-Huangshi-0851/2023|C_AA003789.1|2023-03-24		2023/3/24	China	Homo sapiens	Complete	29763	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0351/2022|C_AA006717.1|2022-12-27		2022/12/27	China	Homo sapiens	Complete	29770	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0469/2023|C_AA006724.1|2023-01-04		2023/1/4	China	Homo sapiens	Complete	29778	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0592/2022|C_AA006735.1|2022-12-26		2022/12/26	China	Homo sapiens	Complete	29770	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0680/2023|C_AA006772.1|2023-02-16		2023/2/16	China	Homo sapiens	Complete	29608	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0685/2022|C_AA006777.1|2022-12-12		2022/12/12	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0802/2023|C_AA006802.1|2023-03-03		2023/3/3	China	Homo sapiens	Complete	29676	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0803/2023|C_AA006803.1|2023-03-03		2023/3/3	China	Homo sapiens	Complete	29682	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0860/2023|C_AA009724.1|2023-03-25		2023/3/25	China	Homo sapiens	Complete	29635	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0898/2023|C_AA011620.1|2023-04-03		2023/4/3	China	Homo sapiens	Complete	29632	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0899/2023|C_AA011621.1|2023-04-08		2023/4/8	China	Homo sapiens	Complete	29682	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0901/2023|C_AA011623.1|2023-04-14		2023/4/14	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/HB-Jingmen-0902/2023|C_AA011624.1|2023-04-13		2023/4/13	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0140/2022|C_AA006811.1|2022-12-16		2022/12/16	China	Homo sapiens	Complete	29635	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0141/2022|C_AA006812.1|2022-12-16		2022/12/16	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0142/2022|C_AA006813.1|2022-12-16		2022/12/16	China	Homo sapiens	Complete	29641	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0143/2022|C_AA006814.1|2022-12-16		2022/12/16	China	Homo sapiens	Complete	29630	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0144/2022|C_AA006815.1|2022-12-16		2022/12/16	China	Homo sapiens	Complete	29613	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0145/2022|C_AA006816.1|2022-12-16		2022/12/16	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0146/2022|C_AA006817.1|2022-12-16		2022/12/16	China	Homo sapiens	Complete	29627	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0147/2022|C_AA006818.1|2022-12-16		2022/12/16	China	Homo sapiens	Complete	29669	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0149/2022|C_AA006820.1|2022-12-16		2022/12/16	China	Homo sapiens	Complete	29629	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0268/2022|C_AA006832.1|2022-12-23		2022/12/23	China	Homo sapiens	Complete	29637	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0270/2022|C_AA006834.1|2022-12-23		2022/12/23	China	Homo sapiens	Complete	29633	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0388/2022|C_AA006843.1|2022-12-28		2022/12/28	China	Homo sapiens	Complete	29636	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0389/2022|C_AA006844.1|2022-12-28		2022/12/28	China	Homo sapiens	Complete	29639	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0410/2022|C_AA006845.1|2022-12-30		2022/12/30	China	Homo sapiens	Complete	29774	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0412/2022|C_AA006847.1|2022-12-30		2022/12/30	China	Homo sapiens	Complete	29766	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0416/2022|C_AA006851.1|2022-12-30		2022/12/30	China	Homo sapiens	Complete	29778	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0432/2023|C_AA006854.1|2023-01-02		2023/1/2	China	Homo sapiens	Complete	29778	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0433/2023|C_AA006855.1|2023-01-02		2023/1/2	China	Homo sapiens	Complete	29774	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0489/2023|C_AA006877.1|2023-01-06		2023/1/6	China	Homo sapiens	Complete	29775	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0525/2023|C_AA006884.1|2023-01-10		2023/1/10	China	Homo sapiens	Complete	29635	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0541/2023|C_AA006888.1|2023-01-12		2023/1/12	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0542/2023|C_AA006889.1|2023-01-12		2023/1/12	China	Homo sapiens	Complete	29676	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0551/2023|C_AA006890.1|2023-01-18		2023/1/18	China	Homo sapiens	Complete	29827	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0625/2023|C_AA006895.1|2023-01-28		2023/1/28	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0627/2023|C_AA006897.1|2023-01-30		2023/1/30	China	Homo sapiens	Complete	29582	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0702/2023|C_AA006905.1|2023-02-14		2023/2/14	China	Homo sapiens	Complete	29632	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0759/2023|C_AA006920.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29635	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0760/2023|C_AA006921.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29631	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0762/2023|C_AA006922.1|2023-02-27		2023/2/27	China	Homo sapiens	Complete	29634	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0784/2023|C_AA006925.1|2023-03-06		2023/3/6	China	Homo sapiens	Complete	29800	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0787/2023|C_AA006928.1|2023-03-06		2023/3/6	China	Homo sapiens	Complete	29819	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0788/2023|C_AA006929.1|2023-03-05		2023/3/5	China	Homo sapiens	Partial	29499	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0789/2023|C_AA006930.1|2023-02-22		2023/2/22	China	Homo sapiens	Complete	29823	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0793/2023|C_AA006934.1|2023-02-28		2023/2/28	China	Homo sapiens	Complete	29787	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0796/2023|C_AA006937.1|2023-03-03		2023/3/3	China	Homo sapiens	Partial	29790	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0855/2023|C_AA009419.1|2023-03-30		2023/3/30	China	Homo sapiens	Complete	29836	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0856/2023|C_AA009420.1|2023-03-21		2023/3/21	China	Homo sapiens	Partial	29830	22B (Omicron)	BA.5.2.48
CHN/HB-Jingzhou-0874/2023|C_AA009732.1|2023-04-09		2023/4/9	China	Homo sapiens	Complete	29684	22B (Omicron)	BA.5.2.48
CHN/HB-Qianjiang-0291/2022|C_AA006945.1|2022-12-24		2022/12/24	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/HB-Qianjiang-0518/2023|C_AA006946.1|2023-01-09		2023/1/9	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/HB-Shenglongjia-0160/2022|C_AA006972.1|2022-12-17		2022/12/17	China	Homo sapiens	Complete	29752	22B (Omicron)	BA.5.2.48
CHN/HB-Shenglongjia-0163/2022|C_AA006975.1|2022-12-17		2022/12/17	China	Homo sapiens	Complete	29712	22B (Omicron)	BA.5.2.48
CHN/HB-Shenglongjia-0177/2022|C_AA006976.1|2022-12-18		2022/12/18	China	Homo sapiens	Complete	29784	22B (Omicron)	BA.5.2.48
CHN/HB-Tianmen-0188/2022|C_AA007024.1|2022-12-19		2022/12/19	China	Homo sapiens	Complete	29777	22B (Omicron)	BA.5.2.48
CHN/HB-Tianmen-0198/2022|C_AA007034.1|2022-12-19		2022/12/19	China	Homo sapiens	Complete	29758	22B (Omicron)	BA.5.2.48
CHN/HB-Tianmen-0199/2022|C_AA007035.1|2022-12-19		2022/12/19	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/HB-Tianmen-0311/2022|C_AA007039.1|2022-12-25		2022/12/25	China	Homo sapiens	Complete	29737	22B (Omicron)	BA.5.2.48
CHN/HB-Tianmen-0312/2022|C_AA007040.1|2022-12-25		2022/12/25	China	Homo sapiens	Complete	29753	22B (Omicron)	BA.5.2.48
CHN/HB-Tianmen-0316/2022|C_AA007044.1|2022-12-25		2022/12/25	China	Homo sapiens	Complete	29759	22B (Omicron)	BA.5.2.48
CHN/HB-Tianmen-0318/2022|C_AA007046.1|2022-12-25		2022/12/25	China	Homo sapiens	Complete	29689	22B (Omicron)	BA.5.2.48
CHN/HB-Tianmen-0320/2022|C_AA007048.1|2022-12-25		2022/12/25	China	Homo sapiens	Complete	29743	22B (Omicron)	BA.5.2.48
CHN/HB-Tianmen-0322/2022|C_AA007050.1|2022-12-25		2022/12/25	China	Homo sapiens	Complete	29749	22B (Omicron)	BA.5.2.48
CHN/HB-Tianmen-0447/2023|C_AA007051.1|2023-01-02		2023/1/2	China	Homo sapiens	Complete	29743	22B (Omicron)	BA.5.2.48
CHN/HB-Tianmen-0448/2023|C_AA007052.1|2023-01-02		2023/1/2	China	Homo sapiens	Complete	29682	22B (Omicron)	BA.5.2.48
CHN/HB-Tianmen-0451/2023|C_AA007055.1|2023-01-02		2023/1/2	China	Homo sapiens	Complete	29725	22B (Omicron)	BA.5.2.48
CHN/HB-Tianmen-0452/2023|C_AA007056.1|2023-01-02		2023/1/2	China	Homo sapiens	Complete	29770	22B (Omicron)	BA.5.2.48
CHN/HB-Wuhan-0529/2023|C_AA007134.1|2023-01-10		2023/1/10	China	Homo sapiens	Complete	29785	22B (Omicron)	BA.5.2.48
CHN/HB-Xiaogan-0048/2022|C_AA007219.1|2022-12-01		2022/12/1	China	Homo sapiens	Complete	29787	22B (Omicron)	BA.5.2.48
CHN/HB-Xiaogan-0072/2022|C_AA007225.1|2022-12-04		2022/12/4	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/HB-Yichang-0483/2023|C_AA007299.1|2023-01-05		2023/1/5	China	Homo sapiens	Complete	29794	22B (Omicron)	BA.5.2.48
CHN/HFCDC-2023-164/2023|C_AA002707.1|2023-02		Feb-23	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/HFCDC-2023-179/2023|C_AA002722.1|2023-02		Feb-23	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/HFCDC-2023-214/2023|C_AA002757.1|2023-02		Feb-23	China	Homo sapiens	Complete	29721	22B (Omicron)	BA.5.2.48
CHN/HFCDC-2023-237/2023|C_AA002780.1|2023-02		Feb-23	China	Homo sapiens	Complete	29767	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-0705/2023|C_AA003335.1|2023-03-29		2023/3/29	China	Homo sapiens	Complete	29632	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-0706/2023|C_AA003336.1|2023-03-29		2023/3/29	China	Homo sapiens	Complete	29629	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-0752/2023|C_AA003767.1|2023-03-29		2023/3/29	China	Homo sapiens	Complete	29656	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-0755/2023|C_AA003770.1|2023-03-29		2023/3/29	China	Homo sapiens	Complete	29718	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-1112/2023|C_AA014472.1|2023-05-03		2023/5/3	China	Homo sapiens	Complete	29778	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-1113/2023|C_AA014473.1|2023-05-03		2023/5/3	China	Homo sapiens	Complete	29778	22B (Omicron)	BA.5.2.48
CHN/HLJCDC-1114/2023|C_AA014474.1|2023-05-03		2023/5/3	China	Homo sapiens	Complete	29755	22B (Omicron)	BA.5.2.48
CHN/HNCDC-2359/2023|C_AA007336.1|2023-03-22		2023/3/22	China	Homo sapiens	Complete	29637	22B (Omicron)	BA.5.2.48
CHN/HNCDC-2361/2023|C_AA007337.1|2023-03-18		2023/3/18	China	Homo sapiens	Partial	29373	22B (Omicron)	BA.5.2.48
CHN/JXCDC-PX005/2023|C_AA007538.1|2023-03-01		2023/3/1	China	Homo sapiens	Complete	29797	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-081/2023|C_AA007370.1|2023-01-17		2023/1/17	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-082/2023|C_AA007371.1|2023-01-26		2023/1/26	China	Homo sapiens	Complete	29760	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-085/2023|C_AA007374.1|2023-01-29		2023/1/29	China	Homo sapiens	Complete	29765	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-086/2023|C_AA007375.1|2023-01-29		2023/1/29	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-087/2023|C_AA007376.1|2023-01-30		2023/1/30	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-089/2023|C_AA007377.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29666	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-093/2023|C_AA007381.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-094/2023|C_AA007382.1|2023-01-16		2023/1/16	China	Homo sapiens	Complete	29767	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-096/2023|C_AA007384.1|2023-02-06		2023/2/6	China	Homo sapiens	Complete	29790	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-097/2023|C_AA007385.1|2023-02-06		2023/2/6	China	Homo sapiens	Complete	29791	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-098/2023|C_AA007386.1|2023-02-03		2023/2/3	China	Homo sapiens	Complete	29787	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-101/2023|C_AA007389.1|2023-02-04		2023/2/4	China	Homo sapiens	Complete	29790	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-102/2023|C_AA007390.1|2023-02-06		2023/2/6	China	Homo sapiens	Complete	29797	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-103/2023|C_AA007391.1|2023-02-03		2023/2/3	China	Homo sapiens	Complete	29773	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-104/2023|C_AA007392.1|2023-02-06		2023/2/6	China	Homo sapiens	Complete	29780	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-105/2023|C_AA007393.1|2023-02-06		2023/2/6	China	Homo sapiens	Complete	29790	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-107/2023|C_AA007395.1|2023-02-01		2023/2/1	China	Homo sapiens	Complete	29790	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-108/2023|C_AA007396.1|2023-02-04		2023/2/4	China	Homo sapiens	Complete	29780	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-110/2023|C_AA007398.1|2023-02-13		2023/2/13	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-111/2023|C_AA007399.1|2023-02-13		2023/2/13	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-113/2023|C_AA007401.1|2023-02-08		2023/2/8	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-117/2023|C_AA007405.1|2023-02-08		2023/2/8	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-119/2023|C_AA007407.1|2023-02-12		2023/2/12	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-120/2023|C_AA007408.1|2023-02-12		2023/2/12	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-124/2023|C_AA007412.1|2023-02-08		2023/2/8	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-133/2023|C_AA007421.1|2023-02-15		2023/2/15	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-134/2023|C_AA007422.1|2023-02-16		2023/2/16	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-137/2023|C_AA007425.1|2023-02-15		2023/2/15	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-138/2023|C_AA007426.1|2023-02-19		2023/2/19	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-139/2023|C_AA007427.1|2023-02-19		2023/2/19	China	Homo sapiens	Complete	29768	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-150/2023|C_AA007438.1|2023-02-23		2023/2/23	China	Homo sapiens	Complete	29769	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-155/2023|C_AA007443.1|2023-03-06		2023/3/6	China	Homo sapiens	Complete	29801	22B (Omicron)	BA.5.2.48
CHN/JXGCDC-157/2023|C_AA007445.1|2023-03-01		2023/3/1	China	Homo sapiens	Complete	29797	22B (Omicron)	BA.5.2.48
